Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),840,840
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,749,1117
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2413,2766
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1345,1408
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2545,2545
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Gender-Neutral,85,164
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),214,470
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,165,185
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),667,667
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,116,500
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1140,1329
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,825,1335
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1875,2391
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1579,1780
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2677,2889
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1513,1913
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2786,2786
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1600,1881
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3425,3731
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,245,329
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),604,728
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,660,997
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1470,1704
Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2066,2104
Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4096,4096
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Gender-Neutral,575,719
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1041,1041
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1223,1702
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3160,3569
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2163,2597
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3223,4011
Indian Institute of Technology Indore,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1425,1668
Indian Institute of Technology Indore,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1731,1731
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,502,1302
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2141,2606
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2067,2523
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3377,4242
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",SC,Gender-Neutral,2982,3092
