Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1411,1917
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3523,4329
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2190,2504
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5821,6222
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,93,218
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),589,757
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Gender-Neutral,250,298
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Female-only (including Supernumerary),779,1071
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,597,1010
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2267,3475
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,879,2191
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5326,6191
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2665,3185
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5730,7737
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3015,3568
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6714,6965
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3390,3974
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6590,7849
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,301,649
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1053,1468
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1193,1648
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2688,4056
Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3128,3618
Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),8144,8144
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,635,1064
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1807,2373
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2198,2993
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5542,6402
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3582,4524
