Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,38,74
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),374,417
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,78,84
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),645,645
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,316,420
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),985,1114
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,537,722
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1596,1734
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,956,1215
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2604,2605
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1326,1402
Indian Institute of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2385,2385
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1299,1474
Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2775,2775
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,163,218
Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),716,749
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,451,744
Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1460,1579
Indian Institute of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1302,1511
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,232,261
Indian Institute of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),901,901
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,824,1173
Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2103,2509
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1577,1821
Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2989,2989
Indian Institute of Technology Indore,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1077,1307
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,628,989
